#Tax                                                                  	AF4_62 	AF4_61 	AF4_41 	AF4_42 	AF4_51 	AF4_22 	AF4_21 	AF4_31 	AF4_32 	AF4_12 	AF4_11 	P4_21 	P4_22 	P4_51 	P4_42 	P4_41 	P4_61 	P4_62 	P4_11 	P4_12 	P4_32 	P4_31 	UCB4_61 	UCB4_62 	UCB4_21 	UCB4_42 	UCB4_22 	UCB4_41 	UCB4_32 	UCB4_31 	UCB4_11 	UCB4_12 	UCB4_51 	M4_11 	M4_12 	M4_21 	M4_22 	M4_31 	M4_32 	M4_42 	M4_41 	M4_51 	M4_61 	M4_62
s__uncultured_bacterium_Contig21                                      	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	    44 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__uncultured_bacterium_Contig1777_n_1791_cl                          	     0 	     0 	     0 	     0 	     0 	    46 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__uncultured_bacterium_Contig1761                                    	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	   70 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__uncultured_bacterium_Contig1584b                                   	     0 	     0 	    26 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__uncultured_bacterium_Contig1529                                    	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	     94 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__uncultured_bacterium_Contig1500                                    	     0 	     0 	     0 	     0 	     0 	    93 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__uncultured_bacterium_Contig1495                                    	     0 	     0 	     0 	    29 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	  179 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__uncultured_bacterium_Contig1480                                    	     0 	     0 	     0 	     0 	     0 	   139 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__uncultured_bacterium_Contig140                                     	     0 	   129 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__uncultured_bacterium_Contig137                                     	     0 	     0 	     0 	     0 	     0 	    46 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__uncultured_bacterium_Contig13                                      	     0 	   258 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__uncultured_bacterium_Ad_143_A19                                    	     0 	     0 	     0 	     0 	     0 	     0 	    44 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__uncultured_bacterium_34R1                                          	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	   70 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__uncultured_bacterium                                               	     0 	     0 	    26 	    59 	     0 	   279 	   498 	   512 	     0 	     0 	   203 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	  128 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	   89 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Tuberibacillus_calidus                                             	     0 	     0 	     0 	     0 	     0 	    46 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Treponema_succinifaciens                                           	     0 	   129 	     0 	     0 	     0 	    46 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Treponema_sp._JC4                                                  	     0 	     0 	     0 	     0 	     0 	   139 	    33 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Treponema_sp._C6A8                                                 	     0 	     0 	     0 	    29 	     0 	     0 	    11 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Treponema_socranskii                                               	     0 	     0 	     0 	     0 	     0 	   232 	     0 	    51 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Treponema_saccharophilum                                           	     0 	   258 	     0 	   119 	     0 	    93 	    22 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Treponema_lecithinolyticum                                         	     0 	     0 	     0 	     0 	     0 	    46 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Treponema_denticola                                                	     0 	     0 	     0 	     0 	     0 	     0 	    11 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	    239 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Treponema_caldarium                                                	     0 	     0 	     0 	     0 	     0 	    46 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Treponema_bryantii                                                 	     0 	   258 	     0 	     0 	     0 	   232 	    55 	     0 	     0 	    44 	     0 	   80 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Treponema_brennaborense                                            	     0 	     0 	     0 	     0 	     0 	     0 	    11 	    12 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
